	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)
	spk_r4	spk_r5	spk_r6	spk_r7	col_r4	col_r5	col_r6	col_r7	lib_r4	lib_r5	lib_r6	lib_r7
VARIABLES	spk	spk	spk	spk	col	col	col	col	lib	lib	lib	lib
												
spk	.	.	.	.								
	(.)	(.)	(.)	(.)								
	[. - .]	[. - .]	[. - .]	[. - .]								
	.	.	.	.								
	[-1.398 - -0.259]	[-1.397 - -0.262]	[-1.384 - -0.246]	[-1.397 - -0.267]	[-1.658 - -0.407]	[-1.665 - -0.433]	[-1.620 - -0.371]	[-1.669 - -0.439]	[-1.406 - -0.227]	[-1.435 - -0.259]	[-1.395 - -0.220]	[-1.386 - -0.217]
	0.004	0.004	0.005	0.004	0.001	0.001	0.002	0.001	0.007	0.005	0.007	0.007
2.race4	-0.033	-0.043	-0.060	-0.078	-0.032	-0.012	-0.065	-0.029	-0.135	-0.127	-0.169	-0.161
	(0.249)	(0.246)	(0.253)	(0.250)	(0.267)	(0.267)	(0.271)	(0.271)	(0.253)	(0.253)	(0.255)	(0.255)
	[-0.521 - 0.455]	[-0.526 - 0.439]	[-0.555 - 0.436]	[-0.568 - 0.412]	[-0.555 - 0.492]	[-0.535 - 0.510]	[-0.596 - 0.466]	[-0.561 - 0.503]	[-0.631 - 0.362]	[-0.623 - 0.370]	[-0.668 - 0.329]	[-0.662 - 0.339]
	0.894	0.861	0.813	0.755	0.905	0.964	0.810	0.915	0.595	0.617	0.506	0.527
3.race4	-0.212	-0.203	-0.218	-0.209	-0.157	-0.133	-0.175	-0.137	0.070	0.052	0.062	0.056
	(0.288)	(0.282)	(0.288)	(0.279)	(0.303)	(0.301)	(0.307)	(0.298)	(0.267)	(0.273)	(0.271)	(0.271)
	[-0.776 - 0.351]	[-0.756 - 0.351]	[-0.782 - 0.346]	[-0.756 - 0.339]	[-0.750 - 0.437]	[-0.722 - 0.457]	[-0.776 - 0.426]	[-0.721 - 0.447]	[-0.454 - 0.593]	[-0.484 - 0.587]	[-0.469 - 0.594]	[-0.476 - 0.588]
	0.460	0.473	0.448	0.455	0.604	0.659	0.568	0.645	0.794	0.850	0.818	0.837
4.race4	0.146	0.148	0.131	0.128	-0.409	-0.416	-0.441	-0.446	-0.442	-0.441	-0.452	-0.450
	(0.218)	(0.218)	(0.217)	(0.217)	(0.248)	(0.248)	(0.251)	(0.252)	(0.208)	(0.207)	(0.209)	(0.208)
	[-0.280 - 0.573]	[-0.278 - 0.574]	[-0.295 - 0.557]	[-0.296 - 0.553]	[-0.895 - 0.078]	[-0.901 - 0.069]	[-0.933 - 0.051]	[-0.941 - 0.049]	[-0.849 - -0.034]	[-0.847 - -0.036]	[-0.861 - -0.042]	[-0.859 - -0.042]
	0.502	0.496	0.547	0.554	0.100	0.093	0.079	0.077	0.034	0.033	0.031	0.031
2.hhsize	-0.377	-0.364	-0.381	-0.382	-0.300	-0.303	-0.294	-0.360	-0.522	-0.536	-0.521	-0.526
	(0.241)	(0.239)	(0.243)	(0.242)	(0.270)	(0.267)	(0.272)	(0.265)	(0.228)	(0.228)	(0.228)	(0.228)
	[-0.849 - 0.096]	[-0.832 - 0.105]	[-0.856 - 0.095]	[-0.857 - 0.093]	[-0.829 - 0.230]	[-0.826 - 0.220]	[-0.826 - 0.239]	[-0.879 - 0.159]	[-0.968 - -0.076]	[-0.984 - -0.089]	[-0.968 - -0.073]	[-0.973 - -0.078]
	0.118	0.128	0.117	0.115	0.267	0.257	0.280	0.174	0.022	0.019	0.023	0.021
3.hhsize	-0.502	-0.478	-0.502	-0.496	-0.465	-0.476	-0.449	-0.501	-0.861	-0.902	-0.871	-0.890
	(0.261)	(0.259)	(0.263)	(0.264)	(0.290)	(0.288)	(0.294)	(0.293)	(0.257)	(0.260)	(0.259)	(0.259)
	[-1.014 - 0.010]	[-0.986 - 0.031]	[-1.017 - 0.012]	[-1.014 - 0.022]	[-1.033 - 0.103]	[-1.039 - 0.088]	[-1.024 - 0.126]	[-1.075 - 0.073]	[-1.366 - -0.357]	[-1.410 - -0.393]	[-1.379 - -0.364]	[-1.398 - -0.381]
