	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)
	spk_r4	spk_r5	spk_r6	spk_r7	col_r4	col_r5	col_r6	col_r7	lib_r4	lib_r5	lib_r6	lib_r7
VARIABLES	spk	spk	spk	spk	col	col	col	col	lib	lib	lib	lib
												
spk	.	.	.	.								
	(.)	(.)	(.)	(.)								
	[. - .]	[. - .]	[. - .]	[. - .]								
	.	.	.	.								
	[-0.211 - 0.006]	[-0.207 - 0.009]	[-0.211 - 0.006]	[-0.211 - 0.008]	[-0.167 - 0.022]	[-0.168 - 0.019]	[-0.167 - 0.022]	[-0.173 - 0.015]	[-0.278 - -0.071]	[-0.287 - -0.079]	[-0.281 - -0.073]	[-0.283 - -0.074]
	0.063	0.072	0.064	0.069	0.131	0.119	0.132	0.099	0.001	0.001	0.001	0.001
4.hhsize	0.009	0.013	0.009	0.011	-0.026	-0.025	-0.025	-0.029	-0.139	-0.147	-0.138	-0.141
	(0.062)	(0.061)	(0.062)	(0.062)	(0.058)	(0.059)	(0.058)	(0.058)	(0.058)	(0.059)	(0.058)	(0.059)
	[-0.112 - 0.130]	[-0.107 - 0.134]	[-0.112 - 0.131]	[-0.110 - 0.132]	[-0.140 - 0.088]	[-0.140 - 0.091]	[-0.139 - 0.089]	[-0.143 - 0.085]	[-0.253 - -0.024]	[-0.263 - -0.031]	[-0.253 - -0.023]	[-0.256 - -0.026]
	0.883	0.827	0.881	0.855	0.655	0.677	0.664	0.620	0.018	0.013	0.018	0.017
5.hhsize	-0.016	-0.010	-0.017	-0.012	-0.051	-0.052	-0.051	-0.058	-0.041	-0.049	-0.042	-0.046
	(0.068)	(0.068)	(0.068)	(0.067)	(0.061)	(0.061)	(0.061)	(0.060)	(0.063)	(0.063)	(0.063)	(0.063)
	[-0.149 - 0.117]	[-0.143 - 0.123]	[-0.150 - 0.116]	[-0.144 - 0.120]	[-0.171 - 0.069]	[-0.171 - 0.067]	[-0.170 - 0.068]	[-0.175 - 0.060]	[-0.164 - 0.083]	[-0.172 - 0.075]	[-0.165 - 0.082]	[-0.170 - 0.078]
	0.815	0.880	0.805	0.860	0.403	0.389	0.399	0.336	0.516	0.439	0.510	0.467
