	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
	spk_r1	spk_r2	spk_r3	col_r1	col_r2	col_r3	lib_r1	lib_r2	lib_r3
VARIABLES	spk	spk	spk	col	col	col	lib	lib	lib
									
spk	.	.	.						
	(.)	(.)	(.)						
	[. - .]	[. - .]	[. - .]						
	.	.	.						
	[-0.066 - 0.217]	[-0.093 - 0.198]	[-0.093 - 0.201]	[-0.093 - 0.156]	[-0.128 - 0.129]	[-0.118 - 0.135]	[-0.005 - 0.268]	[-0.040 - 0.237]	[-0.037 - 0.235]
	0.297	0.478	0.470	0.621	0.993	0.900	0.059	0.163	0.155
11.relig	0.098	0.091	0.089	0.097	0.078	0.079	0.199	0.176	0.173
	(0.049)	(0.050)	(0.050)	(0.045)	(0.045)	(0.045)	(0.049)	(0.050)	(0.050)
	[0.002 - 0.195]	[-0.008 - 0.189]	[-0.010 - 0.188]	[0.010 - 0.184]	[-0.010 - 0.167]	[-0.010 - 0.168]	[0.102 - 0.295]	[0.078 - 0.274]	[0.075 - 0.270]
	0.046	0.071	0.078	0.029	0.084	0.081	0.000	0.000	0.001
12.relig	-0.036	-0.036	-0.037	0.009	0.009	0.008	-0.022	-0.025	-0.023
	(0.040)	(0.041)	(0.040)	(0.037)	(0.037)	(0.036)	(0.041)	(0.041)	(0.041)
	[-0.116 - 0.043]	[-0.117 - 0.045]	[-0.116 - 0.042]	[-0.062 - 0.081]	[-0.062 - 0.081]	[-0.063 - 0.080]	[-0.102 - 0.059]	[-0.105 - 0.056]	[-0.103 - 0.057]
	0.370	0.382	0.363	0.798	0.802	0.823	0.601	0.546	0.570
13.relig	0.113	0.099	0.090	0.208	0.176	0.165	0.087	0.039	0.047
	(0.108)	(0.108)	(0.108)	(0.115)	(0.114)	(0.114)	(0.118)	(0.115)	(0.116)
	[-0.100 - 0.325]	[-0.114 - 0.311]	[-0.121 - 0.301]	[-0.017 - 0.434]	[-0.047 - 0.400]	[-0.059 - 0.389]	[-0.143 - 0.318]	[-0.187 - 0.265]	[-0.179 - 0.274]
	0.298	0.362	0.404	0.070	0.122	0.148	0.458	0.735	0.681
14.relig	0.101	0.079	0.088	0.112	0.084	0.088	0.086	0.058	0.061
	(0.108)	(0.105)	(0.109)	(0.094)	(0.092)	(0.093)	(0.105)	(0.106)	(0.106)
	[-0.111 - 0.313]	[-0.127 - 0.284]	[-0.125 - 0.301]	[-0.072 - 0.296]	[-0.097 - 0.265]	[-0.093 - 0.270]	[-0.119 - 0.292]	[-0.149 - 0.265]	[-0.146 - 0.268]
	0.350	0.452	0.420	0.233	0.362	0.340	0.411	0.584	0.563
15.relig	0.076	0.066	0.093	0.256	0.189	0.202	-0.157	-0.133	-0.131
	(0.138)	(0.151)	(0.150)	(0.137)	(0.142)	(0.142)	(0.109)	(0.149)	(0.144)
	[-0.195 - 0.348]	[-0.230 - 0.361]	[-0.200 - 0.387]	[-0.012 - 0.524]	[-0.089 - 0.468]	[-0.076 - 0.480]	[-0.371 - 0.057]	[-0.424 - 0.158]	[-0.415 - 0.152]
	0.581	0.664	0.533	0.061	0.183	0.154	0.151	0.370	0.364
2.educ4	0.071	0.074	0.076	-0.073	-0.065	-0.068	-0.064	-0.054	-0.053
	(0.066)	(0.068)	(0.067)	(0.062)	(0.061)	(0.061)	(0.062)	(0.061)	(0.060)
	[-0.059 - 0.201]	[-0.059 - 0.207]	[-0.056 - 0.207]	[-0.194 - 0.048]	[-0.186 - 0.055]	[-0.187 - 0.051]	[-0.186 - 0.057]	[-0.173 - 0.065]	[-0.171 - 0.064]
	0.285	0.276	0.258	0.239	0.289	0.262	0.299	0.377	0.373
3.educ4	0.180	0.182	0.188	-0.025	-0.024	-0.027	0.050	0.054	0.058
	(0.064)	(0.065)	(0.064)	(0.060)	(0.059)	(0.059)	(0.059)	(0.058)	(0.057)
	[0.054 - 0.305]	[0.054 - 0.309]	[0.062 - 0.315]	[-0.142 - 0.092]	[-0.140 - 0.092]	[-0.142 - 0.087]	[-0.066 - 0.166]	[-0.059 - 0.167]	[-0.054 - 0.169]
	0.005	0.005	0.003	0.670	0.689	0.640	0.394	0.345	0.309
4.educ4	0.261	0.261	0.264	0.107	0.108	0.102	0.197	0.195	0.198
	(0.068)	(0.070)	(0.069)	(0.063)	(0.064)	(0.063)	(0.063)	(0.061)	(0.060)
	[0.128 - 0.395]	[0.124 - 0.398]	[0.129 - 0.399]	[-0.017 - 0.231]	[-0.017 - 0.233]	[-0.021 - 0.225]	[0.074 - 0.319]	[0.075 - 0.315]	[0.081 - 0.316]
	0.000	0.000	0.000	0.092	0.090	0.105	0.002	0.001	0.001
2.income	0.095	0.105	0.099	0.018	0.028	0.022	-0.194	-0.184	-0.183
	(0.140)	(0.140)	(0.140)	(0.131)	(0.131)	(0.131)	(0.138)	(0.143)	(0.140)
