	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)
	spk_r2	spk_r3	spk_r3d1	spk_r3d2	spk_r4	spk_r5	spk_r6	spk_r2l	spk_r3l	spk_r3ld1	spk_r3ld2	spk_r4l	spk_r5l	spk_r6l	col_r2	col_r3	col_r3d1	col_r3d2	col_r4	col_r5	col_r6	col_r2l	col_r3l	col_r3ld1	col_r3ld2	col_r4l	col_r5l	col_r6l	lib_r2	lib_r3	lib_r3d1	lib_r3d2	lib_r4	lib_r5	lib_r6	lib_r2l	lib_r3l	lib_r3ld1	lib_r3ld2	lib_r4l	lib_r5l	lib_r6l
VARIABLES	y1	y1	y1	y1	y1			y1	y1	y1	y1	y1			y1	y1	y1	y1	y1			y1	y1	y1	y1	y1			y1	y1	y1	y1	y1			y1	y1	y1	y1	y1		
																																										
		[0.358 - 0.450]	[-0.152 - -0.022]						[0.361 - 0.454]	[-0.148 - -0.018]						[0.185 - 0.261]	[-0.113 - -0.001]						[0.188 - 0.264]	[-0.109 - 0.003]						[0.453 - 0.545]	[-0.105 - 0.025]						[0.453 - 0.545]	[-0.101 - 0.029]				
		0.000	0.009						0.000	0.013						0.000	0.048						0.000	0.066						0.000	0.229						0.000	0.272				
3.treat		43.9	-5.2	3.5					43.9	-5.1	3.2					23.6	-4.4	1.3					23.4	-4.4	0.9					54.9	1.0	5.0					54.7	1.2	4.8			
		(2.4)	(3.3)	(3.4)					(2.4)	(3.3)	(3.4)					(2.1)	(3.0)	(2.9)					(2.1)	(3.0)	(2.9)					(2.4)	(3.4)	(3.3)					(2.4)	(3.4)	(3.3)			
		[0.392 - 0.487]	[-0.117 - 0.014]	[-0.031 - 0.101]					[0.391 - 0.487]	[-0.117 - 0.014]	[-0.035 - 0.098]					[0.194 - 0.277]	[-0.102 - 0.014]	[-0.044 - 0.069]					[0.193 - 0.276]	[-0.102 - 0.014]	[-0.048 - 0.065]					[0.502 - 0.595]	[-0.056 - 0.076]	[-0.015 - 0.115]					[0.501 - 0.593]	[-0.054 - 0.078]	[-0.017 - 0.113]			
		0.000	0.120	0.300					0.000	0.125	0.352					0.000	0.139	0.659					0.000	0.136	0.768					0.000	0.773	0.135					0.000	0.726	0.146			
2.partyid3	1.1				1.5										-0.2				0.3										-2.2				-1.8									
	(3.4)				(3.4)										(2.9)				(2.9)										(3.3)				(3.3)									
	[-0.055 - 0.077]				[-0.051 - 0.081]										[-0.060 - 0.055]				[-0.054 - 0.059]										[-0.087 - 0.043]				[-0.083 - 0.047]									
	0.742				0.651										0.938				0.920										0.513				0.588									
3.partyid3	-3.5				-3.6										-8.9				-8.6										-8.9				-8.8									
	(3.8)				(3.7)										(3.5)				(3.4)										(3.7)				(3.7)									
	[-0.108 - 0.039]				[-0.109 - 0.036]										[-0.157 - -0.020]				[-0.153 - -0.020]										[-0.162 - -0.016]				[-0.162 - -0.015]									
	0.359				0.323										0.011				0.011										0.017				0.018									
1.treat				8.7							8.3							5.7							5.3							4.0							3.6			
				(3.3)							(3.3)							(2.9)							(2.9)							(3.3)							(3.3)			
				[0.022 - 0.152]							[0.018 - 0.148]							[0.001 - 0.113]							[-0.003 - 0.109]							[-0.025 - 0.105]							[-0.029 - 0.101]			
				0.009							0.013							0.048							0.066							0.229							0.272			
2.partyid3l								2.0				2.1										2.6				2.7										-2.4				-1.9		
								(4.3)				(4.4)										(3.9)				(3.8)										(3.9)				(3.9)		
								[-0.065 - 0.106]				[-0.065 - 0.106]										[-0.050 - 0.101]				[-0.048 - 0.101]										[-0.100 - 0.052]				[-0.095 - 0.057]		
								0.637				0.633										0.501				0.483										0.530				0.627		
3.partyid3l								-4.1				-3.8										-8.3				-8.1										-8.9				-8.7		
								(3.4)				(3.3)										(3.0)				(3.0)										(3.3)				(3.3)		
								[-0.107 - 0.025]				[-0.103 - 0.028]										[-0.142 - -0.024]				[-0.139 - -0.022]										[-0.152 - -0.025]				[-0.151 - -0.023]		
								0.226				0.261										0.006				0.007										0.006				0.008		
																																										
Observations	2,009	2,009	2,009	2,009	2,009	2,009	2,009	2,009	2,009	2,009	2,009	2,009	2,009	2,009	2,005	2,005	2,005	2,005	2,005	2,005	2,005	2,005	2,005	2,005	2,005	2,005	2,005	2,005	2,002	2,002	2,002	2,002	2,002	2,002	2,002	2,002	2,002	2,002	2,002	2,002	2,002	2,002
Standard errors in brackets																																										
